timestamp, name, index, memory.used [MiB]
2025/02/18 18:56:35.571, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 18:56:35.571, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 18:56:35.571, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 18:56:35.571, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 18:56:36.572, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 18:56:36.572, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 18:56:36.572, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 18:56:36.572, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 18:56:37.572, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 18:56:37.572, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 18:56:37.572, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 18:56:37.572, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 18:56:38.572, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 18:56:38.686, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 18:56:38.686, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 18:56:38.687, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 18:56:39.687, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 18:56:39.687, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 18:56:39.687, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 18:56:39.687, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 18:56:40.687, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 18:56:40.688, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 18:56:40.688, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 18:56:40.688, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 18:56:41.688, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 18:56:41.688, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 18:56:41.688, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 18:56:41.688, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 18:56:42.688, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 18:56:42.688, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 18:56:42.688, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 18:56:42.688, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 18:56:43.689, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 18:56:43.689, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 18:56:43.689, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 18:56:43.689, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 18:56:44.689, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 18:56:44.689, NVIDIA A100-SXM4-80GB, 1, 3197 MiB
2025/02/18 18:56:44.689, NVIDIA A100-SXM4-80GB, 2, 3163 MiB
2025/02/18 18:56:44.689, NVIDIA A100-SXM4-80GB, 3, 1387 MiB
2025/02/18 18:56:45.689, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 18:56:45.689, NVIDIA A100-SXM4-80GB, 1, 3651 MiB
2025/02/18 18:56:45.689, NVIDIA A100-SXM4-80GB, 2, 3651 MiB
2025/02/18 18:56:45.689, NVIDIA A100-SXM4-80GB, 3, 1881 MiB
2025/02/18 18:56:46.690, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 18:56:46.690, NVIDIA A100-SXM4-80GB, 1, 3651 MiB
2025/02/18 18:56:46.690, NVIDIA A100-SXM4-80GB, 2, 3651 MiB
2025/02/18 18:56:46.690, NVIDIA A100-SXM4-80GB, 3, 1881 MiB
2025/02/18 18:56:47.690, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 18:56:47.690, NVIDIA A100-SXM4-80GB, 1, 3651 MiB
2025/02/18 18:56:47.690, NVIDIA A100-SXM4-80GB, 2, 3651 MiB
2025/02/18 18:56:47.690, NVIDIA A100-SXM4-80GB, 3, 1881 MiB
2025/02/18 18:56:48.690, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 18:56:48.691, NVIDIA A100-SXM4-80GB, 1, 3653 MiB
2025/02/18 18:56:48.691, NVIDIA A100-SXM4-80GB, 2, 3653 MiB
2025/02/18 18:56:48.691, NVIDIA A100-SXM4-80GB, 3, 1883 MiB
2025/02/18 18:56:49.691, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 18:56:49.691, NVIDIA A100-SXM4-80GB, 1, 3653 MiB
2025/02/18 18:56:49.691, NVIDIA A100-SXM4-80GB, 2, 3653 MiB
2025/02/18 18:56:49.691, NVIDIA A100-SXM4-80GB, 3, 1883 MiB
2025/02/18 18:56:50.691, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 18:56:50.691, NVIDIA A100-SXM4-80GB, 1, 3653 MiB
2025/02/18 18:56:50.691, NVIDIA A100-SXM4-80GB, 2, 3653 MiB
2025/02/18 18:56:50.692, NVIDIA A100-SXM4-80GB, 3, 1883 MiB
2025/02/18 18:56:51.692, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 18:56:51.692, NVIDIA A100-SXM4-80GB, 1, 3653 MiB
2025/02/18 18:56:51.692, NVIDIA A100-SXM4-80GB, 2, 3653 MiB
2025/02/18 18:56:51.692, NVIDIA A100-SXM4-80GB, 3, 1883 MiB
2025/02/18 18:56:52.692, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 18:56:52.692, NVIDIA A100-SXM4-80GB, 1, 3653 MiB
2025/02/18 18:56:52.692, NVIDIA A100-SXM4-80GB, 2, 3653 MiB
2025/02/18 18:56:52.692, NVIDIA A100-SXM4-80GB, 3, 1883 MiB
