adam_epsilon,before_init_mem_cpu,before_init_mem_gpu,dataset_text_field,epoch,evaluation_strategy,gradient_accumulation_steps,gradient_checkpointing,include_tokens_per_second,init_mem_cpu_alloc_delta,init_mem_cpu_peaked_delta,init_mem_gpu_alloc_delta,init_mem_gpu_peaked_delta,learning_rate,logging_steps,logging_strategy,lr_scheduler_type,max_seq_len,max_steps,model_name_or_path,num_gpus,num_train_epochs,output_dir,packing,per_device_train_batch_size,response_template,save_strategy,skip_memory_metrics,torch_dtype,train_loss,train_mem_cpu_alloc_delta,train_mem_cpu_peaked_delta,train_mem_gpu_alloc_delta,train_mem_gpu_peaked_delta,train_runtime,train_samples_per_second,train_steps_per_second,train_tokens_per_second,training_data_path,use_flash_attn,warmup_steps,weight_decay,acceleration_framework_config_file
1e-8,4791513088.0,512.0,output,0.06,no,1,True,True,0.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_0/hf,False,8,"
### Response:",no,False,bfloat16,0.9688533699512482,1002246144.0,3834404864.0,6621844480.0,2319302144.0,154.3942,20.726,0.648,1445.65,./moeshard/data/cache_all.json,True,10,0.01,
1e-8,4647235584.0,512.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_1/hf,False,8,"
### Response:",no,False,bfloat16,0.9680111801624298,1021943808.0,3814924288.0,6628687360.0,2319360512.0,155.3867,20.594,0.644,1436.417,./moeshard/data/cache_all.json,True,10,0.01,
1e-8,10745405440.0,6043730432.0,output,0.06,no,1,True,True,20480.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_2/hf,False,8,"
### Response:",no,False,bfloat16,0.9778651320934295,-5007986688.0,5319225344.0,12660255232.0,6926167552.0,88.2901,36.244,1.133,2528.028,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep1-sample-configuration.yaml
1e-8,10744135680.0,6043730432.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_3/hf,False,8,"
### Response:",no,False,bfloat16,0.9779439675807953,-5008998400.0,5322702848.0,12660255232.0,6926167552.0,82.4441,38.814,1.213,2707.289,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep1-sample-configuration.yaml
1e-8,4713250816.0,3023831552.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_4/hf,False,8,"
### Response:",no,False,bfloat16,0.9723611682653427,1099444224.0,12288.0,6626960896.0,4311238144.0,110.9535,28.841,0.901,2011.653,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep2-sample-configuration.yaml
1e-8,4713545728.0,3023831552.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_5/hf,False,8,"
### Response:",no,False,bfloat16,0.9723932790756226,1035018240.0,4096.0,6625205248.0,4310725120.0,95.6009,33.473,1.046,2334.707,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep2-sample-configuration.yaml
1e-8,4621406208.0,1514930688.0,output,0.06,no,1,True,True,32768.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_6/hf,False,8,"
### Response:",no,False,bfloat16,0.966615087389946,1093586944.0,28672.0,3771146752.0,3832064000.0,100.5529,31.824,0.995,2219.727,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep4-sample-configuration.yaml
1e-8,4624826368.0,1514930688.0,output,0.06,no,1,True,True,28672.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_7/hf,False,8,"
### Response:",no,False,bfloat16,0.9667175161838532,1034645504.0,4096.0,3770675200.0,3833790976.0,98.2997,32.554,1.017,2270.608,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep4-sample-configuration.yaml
1e-8,10746974208.0,6043730432.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_8/hf,False,8,"
### Response:",no,False,bfloat16,0.9779991048574448,-5008142336.0,5319782400.0,12660720128.0,6611559936.0,83.7425,38.212,1.194,1850.911,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep1-padding-free-sample-configuration.yaml
1e-8,10751930368.0,6043730432.0,output,0.06,no,1,True,True,16384.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_9/hf,False,8,"
### Response:",no,False,bfloat16,0.9781109935045242,-5001699328.0,5313990656.0,12662581248.0,6611630080.0,75.4694,42.401,1.325,2053.813,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep1-padding-free-sample-configuration.yaml
